type;label;cond;id;length;Lperf;hydr;nP;nM
mac;drag-8;l;542;7.10;NA;1;2;0
mac;drag-8;l;543;13.70;NA;1;12;0
mac;drag-8;l;544;18.50;NA;1;9;4
mac;drag-8;l;545;17.90;NA;1;9;2
mac;drag-8;l;546;6.90;NA;1;2;0
mac;drag-8;l;549;12.10;NA;1;3;0
mac;drag-8;l;550;4.50;NA;1;9;4
mac;drag-8;l;551;19.00;NA;1;0;8
mac;drag-8;l;552;17.00;NA;1;10;3
mac;drag-8;l;554;15.30;NA;1;5;0
mac;drag-8;l;555;16.20;NA;1;5;0
mac;drag-8;l;556;18.20;NA;1;4;3
mac;drag-8;l;557;18.10;NA;1;9;0
mac;drag-8;l;558;18.00;NA;1;6;1
mac;drag-8;l;559;16.20;NA;1;7;3
mac;drag-8;l;561;3.50;NA;1;2;0
mac;drag-8;l;566;11.60;NA;1;0;0
mac;drag-8;l;567;11.40;NA;1;5;0
mac;drag-8;l;569;17.00;NA;1;7;1
mac;drag-8;l;570;3.00;NA;1;2;0
mac;drag-3;l;589;3.10;NA;1;5;0
mac;drag-6;l;592;8.20;NA;1;6;0
mac;drag-6;l;593;5.80;NA;1;7;2
mac;drag-6;l;594;3.50;NA;1;3;0
mac;drag-1;s;602;4.20;NA;1;NA;NA
port;drag-4;s;608;10.90;NA;1;NA;NA
port;drag-4;s;610;12.50;NA;1;NA;NA
port;drag-4;s;611;8.00;NA;1;NA;NA
port;drag-4;s;621;11.50;NA;1;NA;NA
port;drag-4;s;622;12.70;NA;1;NA;NA
port;drag-4;s;625;11.10;NA;1;NA;NA
port;drag-4;s;631;7.90;NA;1;NA;NA
port;drag-4;s;632;9.20;NA;1;NA;NA
port;drag-4;s;636;9.90;NA;1;NA;NA
port;drag-4;s;650;12.00;NA;1;NA;NA
port;drag-4;s;656;10.20;NA;1;NA;NA
port;drag-4;s;661;8.70;NA;1;NA;NA
port;drag-4;s;672;12.60;NA;1;NA;NA
port;drag-4;s;674;10.20;NA;1;NA;NA
port;drag-10;s;690;13.60;NA;1;NA;NA
port;drag-10;s;696;9.60;NA;1;NA;NA
port;drag-10;s;704;10.20;NA;1;NA;NA
port;drag-10;s;705;10.30;NA;1;NA;NA
port;drag-10;s;707;10.60;NA;1;NA;NA
port;drag-10;s;711;11.30;NA;1;NA;NA
port;drag-10;s;713;10.00;NA;1;NA;NA
port;drag-10;s;714;9.60;NA;1;NA;NA
port;drag-10;s;715;10.50;NA;1;NA;NA
port;drag-10;s;722;7.20;NA;1;NA;NA
port;drag-9;s;729;13.90;NA;1;NA;NA
port;drag-9;s;732;6.80;NA;1;NA;NA
port;drag-9;s;733;13.10;NA;1;NA;NA
port;drag-9;s;735;16.80;NA;1;NA;NA
port;drag-9;s;740;12.30;NA;1;NA;NA
port;drag-9;s;741;12.50;NA;1;NA;NA
port;drag-9;s;742;11.50;NA;1;NA;NA
port;drag-9;s;743;16.70;NA;1;NA;NA
port;drag-9;s;748;11.20;NA;1;NA;NA
port;drag-9;s;753;10.10;NA;1;NA;NA
port;drag-9;s;761;10.30;NA;1;NA;NA
port;drag-9;s;770;10.10;NA;1;NA;NA
port;drag-9;s;772;9.90;NA;1;NA;NA
port;drag-9;s;776;10.60;NA;1;NA;NA
mac;drag-9;s;777;13.30;NA;1;NA;NA
port;drag-8;s;779;13.40;NA;1;NA;NA
port;drag-8;s;782;16.70;NA;1;NA;NA
port;drag-8;s;784;15.80;NA;1;NA;NA
mac;drag-8;s;786;14.60;NA;1;NA;NA
mac;drag-8;s;790;16.50;NA;1;NA;NA
port;drag-4;p;802;10.00;1.5;1;NA;NA
port;drag-4;p;805;5.90;1.9;1;NA;NA
port;drag-4;p;811;10.60;NA;1;NA;NA
port;drag-10;p;824;14.50;1.5;1;NA;NA
port;drag-10;p;827;12.10;1.6;1;NA;NA
port;drag-10;p;828;10.30;1.2;1;NA;NA
port;drag-10;p;829;13.40;1.5;1;NA;NA
port;drag-10;p;831;10.80;1.3;1;NA;NA
port;drag-10;p;833;10.30;1.9;1;NA;NA
port;drag-10;p;840;9.90;;1;NA;NA
port;drag-9;p;841;17.30;1;1;NA;NA
port;drag-9;p;843;11.50;1.9;1;NA;NA
port;drag-9;p;844;11.60;1.1;1;NA;NA
port;drag-9;p;845;12.50;1.2;1;NA;NA
port;drag-9;p;846;9.90;1.1;1;NA;NA
port;drag-8;p;852;13.60;0.9;1;NA;NA
mac;drag-4;l;2;4.90;NA;0;0;0
mac;drag-4;l;5;3.80;NA;0;0;0
mac;drag-4;l;11;2.50;NA;0;0;0
mac;drag-4;l;12;1.70;NA;0;0;0
mac;drag-4;l;13;2.70;NA;0;0;0
mac;drag-4;l;14;2.70;NA;0;0;0
mac;drag-4;l;15;3.00;NA;0;0;0
mac;drag-4;l;16;7.30;NA;0;0;0
mac;drag-4;l;17;8.80;NA;0;4;0
mac;drag-4;l;18;3.70;NA;0;0;0
mac;drag-4;l;19;4.70;NA;0;0;0
mac;drag-4;l;20;6.80;NA;0;0;0
mac;drag-4;l;21;2.60;NA;0;0;0
mac;drag-4;l;22;6.30;NA;0;0;0
mac;drag-4;l;24;5.70;NA;0;0;0
mac;drag-4;l;25;4.60;NA;0;0;0
mac;drag-4;l;29;2.80;NA;0;0;0
mac;drag-4;l;32;4.50;NA;0;0;0
mac;drag-4;l;33;2.20;NA;0;0;0
mac;drag-4;l;57;9.20;NA;0;0;0
mac;drag-4;l;59;8.20;NA;0;0;0
mac;drag-4;l;60;8.10;NA;0;0;0
mac;drag-4;l;63;5.80;NA;0;0;0
mac;drag-4;l;64;4.70;NA;0;0;0
mac;drag-4;l;65;6.10;NA;0;0;0
mac;drag-4;l;66;5.80;NA;0;0;0
mac;drag-4;l;67;5.60;NA;0;0;0
mac;drag-4;l;68;4.50;NA;0;0;0
mac;drag-4;l;69;5.50;NA;0;0;0
mac;drag-4;l;72;5.00;NA;0;0;0
mac;drag-4;l;75;4.80;NA;0;0;0
mac;drag-4;l;76;4.10;NA;0;0;0
mac;drag-4;l;77;2.60;NA;0;0;0
mac;drag-4;l;78;4.40;NA;0;0;0
mac;drag-4;l;79;4.40;NA;0;0;0
mac;drag-4;l;81;4.80;NA;0;0;0
mac;drag-4;l;82;5.60;NA;0;0;0
mac;drag-4;l;83;6.70;NA;0;0;0
mac;drag-4;l;85;4.00;NA;0;0;0
mac;drag-4;l;86;3.50;NA;0;0;0
mac;drag-4;l;87;3.90;NA;0;0;0
mac;drag-4;l;88;4.80;NA;0;0;0
mac;drag-4;l;89;3.40;NA;0;0;0
mac;drag-4;l;90;3.90;NA;0;0;0
mac;drag-4;l;91;3.30;NA;0;0;0
mac;drag-4;l;92;3.40;NA;0;0;0
mac;drag-4;l;93;3.90;NA;0;0;0
mac;drag-4;l;94;1.70;NA;0;0;0
mac;drag-4;l;95;3.90;NA;0;0;0
mac;drag-4;l;96;3.80;NA;0;0;0
mac;drag-4;l;97;3.50;NA;0;0;0
mac;drag-4;l;98;3.60;NA;0;0;0
mac;drag-4;l;99;3.20;NA;0;0;0
mac;drag-4;l;100;2.20;NA;0;0;0
mac;drag-4;l;101;5.40;NA;0;0;0
mac;drag-4;l;102;2.90;NA;0;0;0
mac;drag-4;l;105;3.60;NA;0;0;0
mac;drag-4;l;106;3.50;NA;0;0;0
mac;drag-4;l;107;3.90;NA;0;0;0
mac;drag-4;l;110;2.80;NA;0;0;0
mac;drag-4;l;112;3.10;NA;0;0;0
mac;drag-4;l;113;3.40;NA;0;0;0
mac;drag-4;l;114;4.00;NA;0;0;0
mac;drag-4;l;115;2.50;NA;0;0;0
mac;drag-4;l;116;3.20;NA;0;0;0
mac;drag-4;l;117;2.70;NA;0;0;0
mac;drag-4;l;119;2.80;NA;0;0;0
mac;drag-4;l;120;3.20;NA;0;0;0
mac;drag-4;l;121;2.60;NA;0;0;0
mac;drag-2;l;123;2.60;NA;0;0;0
mac;drag-2;l;124;1.90;NA;0;0;0
mac;drag-2;l;125;2.10;NA;0;0;0
mac;drag-2;l;126;2.20;NA;0;0;0
mac;drag-2;l;127;2.10;NA;0;0;0
mac;drag-2;l;128;1.70;NA;0;0;0
mac;drag-2;l;140;9.10;NA;0;0;0
mac;drag-2;l;141;5.50;NA;0;0;0
mac;drag-2;l;146;6.90;NA;0;0;0
mac;drag-2;l;149;5.80;NA;0;0;0
mac;drag-2;l;150;6.20;NA;0;0;0
mac;drag-2;l;151;5.30;NA;0;0;0
mac;drag-2;l;152;5.00;NA;0;0;0
mac;drag-2;l;153;4.80;NA;0;0;0
mac;drag-2;l;155;2.30;NA;0;0;0
mac;drag-2;l;156;3.30;NA;0;0;0
mac;drag-2;l;157;6.70;NA;0;0;0
mac;drag-2;l;158;2.60;NA;0;0;0
mac;drag-2;l;159;7.60;NA;0;0;0
mac;drag-2;l;160;2.50;NA;0;0;0
mac;drag-2;l;161;2.80;NA;0;0;0
mac;drag-2;l;162;1.30;NA;0;0;0
mac;drag-2;l;163;2.30;NA;0;0;0
mac;drag-3;l;166;2.30;NA;0;0;0
mac;drag-3;l;167;2.60;NA;0;0;0
mac;drag-10;l;175;17.00;NA;0;0;0
mac;drag-10;l;213;3.90;NA;0;0;0
mac;drag-10;l;214;2.60;NA;0;0;0
mac;drag-10;l;218;2.80;NA;0;0;0
mac;drag-10;l;219;3.00;NA;0;0;0
mac;drag-10;l;220;3.90;NA;0;0;0
mac;drag-10;l;221;2.70;NA;0;0;0
mac;drag-10;l;222;4.30;NA;0;0;0
mac;drag-1;l;228;6.50;NA;0;0;0
mac;drag-1;l;230;8.70;NA;0;0;0
mac;drag-1;l;231;5.00;NA;0;0;0
mac;drag-1;l;233;19.80;NA;0;0;0
mac;drag-1;l;234;22.20;NA;0;0;0
mac;drag-1;l;235;23.50;NA;0;0;0
port;drag-4;l;236;14.30;NA;0;0;NA
port;drag-4;l;241;7.90;NA;0;0;NA
port;drag-4;l;243;14.20;NA;0;0;NA
port;drag-4;l;245;14.90;NA;0;0;NA
port;drag-4;l;250;2.60;NA;0;0;NA
port;drag-4;l;253;14.00;NA;0;0;NA
port;drag-4;l;254;9.40;NA;0;0;NA
port;drag-4;l;255;8.30;NA;0;0;NA
port;drag-4;l;259;5.00;NA;0;0;NA
port;drag-4;l;263;5.80;NA;0;0;NA
port;drag-4;l;264;2.10;NA;0;0;NA
port;drag-4;l;266;2.60;NA;0;0;NA
port;drag-4;l;268;14.20;NA;0;0;NA
port;drag-4;l;274;11.80;NA;0;0;NA
port;drag-4;l;278;5.00;NA;0;0;NA
port;drag-4;l;279;2.90;NA;0;0;NA
port;drag-4;l;280;3.10;NA;0;0;NA
